name,artist_name,genre,uri,danceability,energy,valence,tempo
Tik Tok,Ke$ha,pop,spotify:track:6rUp7v3l8yC4TKxAAR5Bmx,0.80,0.92,0.89,120.0
Hung Up,Madonna,pop,spotify:track:0xaSyRrbjfmSnp0cikU2Qv,0.79,0.88,0.84,125.0
Like a Prayer,Madonna,pop,spotify:track:2JpUkC9Nb7hCj6v0uZX9wX,0.68,0.75,0.72,112.0
Vogue,Madonna,pop,spotify:track:3Lt1GadO98Abd3g3j8SEJk,0.76,0.82,0.77,116.0
Material Girl,Madonna,pop,spotify:track:0Mb20VmqRpjK1W1kE6vTdd,0.71,0.85,0.79,137.0
Like a Virgin,Madonna,pop,spotify:track:2fQ0wknRMjG8dHmF91KQxJ,0.65,0.76,0.83,118.0
Genie in a Bottle,Christina Aguilera,pop,spotify:track:1Q5Kg7k7uKXxJYsF8Db68H,0.67,0.69,0.71,89.0
Beautiful,Christina Aguilera,pop,spotify:track:0QYL7AoHkLNM7t2Z2lbSJJ,0.42,0.54,0.30,82.0
Fighter,Christina Aguilera,pop,spotify:track:6okCwS3zTh9G3EDVfV5tqk,0.58,0.91,0.51,95.0
Dirrty,Christina Aguilera,pop,spotify:track:7w87IxuO7BDcJ3YUqCyMTT,0.81,0.93,0.67,101.0
A Thousand Miles,Vanessa Carlton,pop,spotify:track:5Hyr47n1uG4bXbx8aTyI8j,0.65,0.72,0.62,95.0
Complicated,Avril Lavigne,pop,spotify:track:5xEM5hIgJ1jjgcEBfpkt2F,0.65,0.78,0.59,78.0
Sk8er Boi,Avril Lavigne,pop,spotify:track:5vw7i3oGfeT2iU5A8xBqIw,0.70,0.89,0.74,150.0
Girlfriend,Avril Lavigne,pop,spotify:track:0xa5rC8hKIRsB7q1uCwEVO,0.79,0.93,0.85,124.0
Hot n Cold,Katy Perry,pop,spotify:track:3fW4XbmNAq0YfEs9UIN4mC,0.73,0.92,0.77,132.0
E.T.,Katy Perry,pop,spotify:track:3s4U7OHV7gnj42vvT2hC1v,0.63,0.84,0.51,128.0
Last Friday Night (T.G.I.F.),Katy Perry,pop,spotify:track:3l9BfRtDhdz00Uw0E4HreE,0.75,0.91,0.88,126.0
Wrecking Ball,Miley Cyrus,pop,spotify:track:2vwlzO0Qp8kfEtzTsCXfyE,0.57,0.69,0.41,120.0
Party in the U.S.A.,Miley Cyrus,pop,spotify:track:3G6hD9B2ZHOsgf4WfNu7X1,0.78,0.88,0.88,96.0
We Can't Stop,Miley Cyrus,pop,spotify:track:2y4lAQpi5VTNLu2ldeTdUH,0.74,0.69,0.71,82.0
Midnight Sky,Miley Cyrus,pop,spotify:track:2Oycxb8QbPkpHTo8ZrmG0A,0.75,0.81,0.77,110.0
Wanna Be Startin' Somethin',Michael Jackson,pop,spotify:track:3S8jK1mGSu8L1w5e8Q7dN3,0.85,0.90,0.85,122.0
Thriller,Michael Jackson,pop,spotify:track:2LlQb7Uoj1kKyGhlkBf9aC,0.80,0.87,0.66,118.0
Billie Jean,Michael Jackson,pop,spotify:track:5ChkMS8OtdzJeqyybCc9R5,0.79,0.82,0.62,117.0
Beat It,Michael Jackson,pop,spotify:track:3S8jK1mGSu8L1w5e8Q7dNC,0.77,0.89,0.68,138.0
Man in the Mirror,Michael Jackson,pop,spotify:track:2ZytN2cY4Zjrr9ukb2rqTP,0.52,0.69,0.46,100.0
Shape of My Heart,Backstreet Boys,pop,spotify:track:4rNmYvRjK2yKxD8RnbpK9M,0.51,0.63,0.34,92.0
I Want It That Way,Backstreet Boys,pop,spotify:track:6e40mgJiCid5HRAGrbpGA6,0.62,0.71,0.67,99.0
Everybody (Backstreet's Back),Backstreet Boys,pop,spotify:track:5KawlOMHjWeUjQtnuRs22c,0.75,0.92,0.84,108.0
As Long As You Love Me,Backstreet Boys,pop,spotify:track:6Or1Ij4lDE8qUakRRaOe3Y,0.61,0.67,0.61,100.0
Bye Bye Bye,*NSYNC,pop,spotify:track:2AW37v0aoM1NVZ1s9wiE6g,0.72,0.95,0.91,172.0
It's Gonna Be Me,*NSYNC,pop,spotify:track:3d9DChrdc6BOeFsbrZ3Isx2,0.73,0.91,0.87,172.0
Tearin' Up My Heart,*NSYNC,pop,spotify:track:4JpKVNYnVcJ8tuMKjAj50A,0.71,0.84,0.75,100.0
Pop,*NSYNC,pop,spotify:track:4MnsBXr7SbNd1SABxM7t6E,0.69,0.89,0.73,108.0
Sucker,Jonas Brothers,pop,spotify:track:3vZM8I4s4Rj7H9N1qMcx9K,0.82,0.79,0.90,138.0
Burnin' Up,Jonas Brothers,pop,spotify:track:0XGd8lWjQKrWElF6p7Lzop,0.77,0.85,0.80,113.0
Lovebug,Jonas Brothers,pop,spotify:track:6gz4Wk16RjXERr3vxQpaPE,0.58,0.51,0.46,80.0
Cool,Jonas Brothers,pop,spotify:track:1qLdpV5z5pJ0vP1TGFpXrJ,0.75,0.70,0.78,101.0
Jealous,Nick Jonas,pop,spotify:track:5jlwj7Y9t2ZydDpDFFgG3p,0.65,0.81,0.65,169.0
Chains,Nick Jonas,pop,spotify:track:7cSls7cKthMPQ2yxzudZrp,0.53,0.73,0.46,100.0
Cake by the Ocean,DNCE,pop,spotify:track:76hfruVvmfQbw0eYn1nmeC,0.80,0.84,0.91,119.0
Toothbrush,DNCE,pop,spotify:track:7FIWs0pqAYbP91WWM0vlTQ,0.74,0.75,0.74,109.0
Sledgehammer,Fifth Harmony,pop,spotify:track:7hegjxEJyehY4IYXguFi1T,0.65,0.77,0.74,88.0
Work from Home,Fifth Harmony,pop,spotify:track:4tCtwWceOPWzenK2HAIJSb,0.76,0.79,0.84,105.0
Worth It,Fifth Harmony,pop,spotify:track:3HvSxw8m3mMWw2lYxH9Rdv,0.77,0.80,0.88,100.0
BO$$,Fifth Harmony,pop,spotify:track:3RsyQeX9Gkz3aNGbO3yS0Q,0.73,0.82,0.71,95.07
All About That Bass,Meghan Trainor,pop,spotify:track:2PpruBYCo4H7WOBJ7Q2EwM,0.75,0.73,0.92,134.0
Lips Are Movin,Meghan Trainor,pop,spotify:track:7vXDAI8JwjW531ouMGbfcp,0.80,0.84,0.87,139.0
NO,Meghan Trainor,pop,spotify:track:3ziMyNPaqn4AI4nJwdtTGZ,0.68,0.80,0.76,92.0
Like I'm Gonna Lose You,Meghan Trainor,pop,spotify:track:0pKy0iuXRtT8IgPgFBLVJp,0.49,0.48,0.38,83.0
Hips Don’t Lie,Shakira,pop,spotify:track:3ZFTkvIE7kyPt6Nu3PEa7V,0.86,0.82,0.89,100.0
Whenever Wherever,Shakira,pop,spotify:track:1JSTJqkT5qHq8MDJnJbRE1,0.77,0.80,0.87,139.0
She Wolf,Shakira,pop,spotify:track:3XVozq1aeqsJwpXrEZrDJ9,0.72,0.86,0.75,120.0
Underneath Your Clothes,Shakira,pop,spotify:track:1SA7Z49HUM5ZCr8TqB2VX7,0.50,0.45,0.38,89.0
La La La,Shakira,pop,spotify:track:3FcmXb2aQYYBCF1iZpXlEH,0.74,0.80,0.79,128.0
She Will Be Loved,Maroon 5,pop,spotify:track:0fmNLtGtoUZk9qtm0clQKA,0.55,0.52,0.46,101.0
This Love,Maroon 5,pop,spotify:track:5enxwA8aAbwZbf5qCHORXi,0.70,0.80,0.76,96.0
Moves Like Jagger,Maroon 5,pop,spotify:track:1QEEqeFIZktqIpPI4jSVSF,0.78,0.84,0.89,128.0
Payphone,Maroon 5,pop,spotify:track:3hEZfx1SkeCz4zIAv7tyGy,0.64,0.75,0.52,110.0
Sugar,Maroon 5,pop,spotify:track:5cF0dROlMOK5uNZtivgu50,0.80,0.82,0.94,120.0
What Lovers Do,Maroon 5,pop,spotify:track:0c6xIDDpzE81m2q797ordA,0.76,0.74,0.79,110.0
Girls Like You,Maroon 5,pop,spotify:track:6Nfh2Yp6a5xAXpvWTqXzYQ,0.74,0.71,0.72,125.0
Misery,Maroon 5,pop,spotify:track:5p7Gi2FHjS3uoUOftVQ5Kz,0.64,0.84,0.58,103.0
Lovefool,The Cardigans,pop,spotify:track:3cHyrEgdyYRjgJKSOiOtcS,0.73,0.79,0.89,115.0
Erase/Rewind,The Cardigans,pop,spotify:track:7JZSaL9aR4CcCqR0v7j5kQ,0.65,0.67,0.51,118.0
My Favourite Game,The Cardigans,pop,spotify:track:3EddwPw1HbC60VwPpiTGGn,0.72,0.85,0.74,124.0
Love Song,Sara Bareilles,pop,spotify:track:1D1nixOVWOxvNfWi0UD7VX,0.71,0.70,0.81,100.0
Brave,Sara Bareilles,pop,spotify:track:2x6vNZW7ezU0PPKZ0tZ7mZ,0.74,0.75,0.85,88.0
King of Anything,Sara Bareilles,pop,spotify:track:2dqglF5efSw0YqOll77EcR,0.70,0.77,0.74,95.0
Gravity,Sara Bareilles,pop,spotify:track:7b2qfPjwccuNL2T3wFOItD,0.38,0.39,0.22,77.0
Domino,Jessie J,pop,spotify:track:3AVzaBf6HnRRk5T1Wcxz9g,0.75,0.89,0.91,127.0
Price Tag,Jessie J,pop,spotify:track:5Q0Nhxo0l2bP3pNjpGJwV1,0.76,0.84,0.93,87.0
Bang Bang,Jessie J,pop,spotify:track:0puf9yIluy9W0vpMEUoAnN,0.70,0.90,0.82,150.0
Flashlight,Jessie J,pop,spotify:track:2fGVwWcZzwsUft8U3wVbF5,0.55,0.63,0.54,88.0
Domino,Jessie J,pop,spotify:track:2K9aQsr55WL3Oaa7Z7MZve,0.74,0.82,0.88,128.0
Hollaback Girl,Gwen Stefani,pop,spotify:track:0d28khcov6AiegSCpG5TuT,0.81,0.88,0.94,110.0
Rich Girl,Gwen Stefani,pop,spotify:track:3pc0bOVB5whxmD50W79wwO,0.76,0.82,0.77,92.0
Cool,Gwen Stefani,pop,spotify:track:5wL0WgFZq0wM8yVlTY1htS,0.63,0.64,0.54,111.0
What You Waiting For?,Gwen Stefani,pop,spotify:track:1gy4YF9PGZrb7Xl8TntELv,0.74,0.91,0.73,121.0
The Sweet Escape,Gwen Stefani,pop,spotify:track:4ZQMF7u6Vo5kkU53Rau0Ug,0.77,0.86,0.87,120.0
Apologize,OneRepublic,pop,spotify:track:3JvrhDOgAt6p7K8mDyZwRd,0.42,0.52,0.25,120.0
Counting Stars,OneRepublic,pop,spotify:track:2tpWsVSb9UEmDRxAl1zhX1,0.66,0.83,0.60,122.0
Good Life,OneRepublic,pop,spotify:track:6OtCIsQZ64Vs1EbzztvAv4,0.57,0.74,0.60,95.0
Secrets,OneRepublic,pop,spotify:track:2pCQvlVxNVcKQbMG8tOwtI,0.55,0.67,0.44,148.0
Stop and Stare,OneRepublic,pop,spotify:track:7dLjzv7U6vZodrjTHL0QgH,0.46,0.61,0.37,77.0
Love Me Like You Do,Ellie Goulding,pop,spotify:track:6Cap3GpG4cMZv3PrRryFgj,0.52,0.64,0.39,95.0
Burn,Ellie Goulding,pop,spotify:track:2aBxt229cbLDOvtL7Xbb9x,0.72,0.85,0.76,87.0
Lights,Ellie Goulding,pop,spotify:track:0L5GVDbhKyxyyswCWqG8MI,0.65,0.68,0.66,120.0
On My Mind,Ellie Goulding,pop,spotify:track:3x2lsQ0qeHrTExEpx0uK3A,0.70,0.80,0.72,154.0
Anything Could Happen,Ellie Goulding,pop,spotify:track:2lgccZyBph4QKjQgZpHeN0,0.63,0.78,0.60,103.0
Born This Way,Lady Gaga,pop,spotify:track:6oCAsJycWnn8Aaij7brR1l,0.71,0.86,0.85,124.0
Applause,Lady Gaga,pop,spotify:track:2FljM5F1hN7T0ASW2Hq2rO,0.73,0.90,0.86,140.0
The Edge of Glory,Lady Gaga,pop,spotify:track:0tdCy39PgWNja7lfG5c5Wc,0.70,0.83,0.78,128.0
Rain on Me,Lady Gaga,pop,spotify:track:24ySl2hOPGCDcxBxFIqWBu,0.72,0.87,0.75,123.0
Telephone,Lady Gaga,pop,spotify:track:4bHsxqR3GMrXTxEPLuK5ue,0.68,0.91,0.61,122.0
Beautiful Liar,Beyoncé & Shakira,pop,spotify:track:0qaWEwU6fpkAmsLZL7DpzC,0.67,0.80,0.62,96.0
Run the World (Girls),Beyoncé,pop,spotify:track:1c8gk2PeTE04A1pIDH9YMk,0.77,0.94,0.81,127.0
Sweet Dreams,Beyoncé,pop,spotify:track:5yEPxDjbbzUzyauGtnmVEC,0.71,0.86,0.75,122.0
Irreplaceable,Beyoncé,pop,spotify:track:6RX5iL93VZ5fKmyvNXvF1r,0.63,0.74,0.62,88.0
Crazy in Love,Beyoncé,pop,spotify:track:5IVuqXILoxVWvWEPm82Jxr,0.76,0.91,0.79,99.0
Halo (Acoustic),Beyoncé,pop,spotify:track:6l6Lw5VzXEZi3sLjv3WfpP,0.44,0.38,0.28,84.0
Don’t Stop the Music,Rihanna,pop,spotify:track:6guJYvH8Am5TDAw7hHJQef,0.79,0.91,0.90,123.0
SOS,Rihanna,pop,spotify:track:2w2YdZ8tvRtXh3byRj7mPB,0.74,0.85,0.79,118.0
Pon de Replay,Rihanna,pop,spotify:track:1jFhnVoJkcB4lfdLkoH6Nd,0.75,0.87,0.78,98.0
Where Have You Been,Rihanna,pop,spotify:track:2tUBqZG2AbRi7Q0BIrVrEj,0.70,0.92,0.77,128.0
Take a Bow,Rihanna,pop,spotify:track:4pAl7FkDMNBsjykPXo91B3,0.49,0.65,0.38,82.0
Shut Up and Drive,Rihanna,pop,spotify:track:4QjKpBzS1h5z9gQzha5TgC,0.71,0.88,0.71,131.0
Love on the Brain,Rihanna,pop,spotify:track:3U21A07gAloCc4P7J8rxcn,0.34,0.42,0.27,172.0
Break Free,Ariana Grande,pop,spotify:track:1h2xVEoJORqrg71HocgqXd,0.72,0.91,0.85,130.0
Problem,Ariana Grande,pop,spotify:track:7vGuf3Y35N4wmASOKLUVVU,0.78,0.87,0.81,103.0
No Tears Left to Cry,Ariana Grande,pop,spotify:track:5qmq61DAAOUaW8AUo8xKhh,0.68,0.72,0.67,122.0
Into You,Ariana Grande,pop,spotify:track:76O8OQ3lE79sZx2OYNP6lN,0.75,0.88,0.72,108.0
One Last Time,Ariana Grande,pop,spotify:track:2ePtv8MlBO9nuuXABqAfEX,0.68,0.80,0.60,125.0
7 Rings,Ariana Grande,pop,spotify:track:6ocbgoVGwYJhOv1GgI9NsF,0.71,0.64,0.60,140.0
God Is a Woman,Ariana Grande,pop,spotify:track:5OCJzvD7sykQEKHH7qAC3C,0.66,0.68,0.47,72.0
Side to Side,Ariana Grande,pop,spotify:track:1lRtH4FszTrwwlK5gTSbXO,0.72,0.80,0.73,159.0
Focus,Ariana Grande,pop,spotify:track:4z4QO6aS4jMJdUXf9o8iy1,0.75,0.90,0.76,107.0
Stuck with U,Ariana Grande,pop,spotify:track:4HBZA5flZLE435QTztThqH,0.60,0.54,0.41,73.0
Positions,Ariana Grande,pop,spotify:track:35mvY5S1H3J2QZyna3TFe0,0.67,0.67,0.64,134.0
Into the Unknown,Idina Menzel,pop,spotify:track:1ptk8CEd3Q21vYl7ZcsfXk,0.58,0.65,0.49,80.0
Let It Go,Idina Menzel,pop,spotify:track:6QfS2wqM5VYcL94K1U5pGt,0.55,0.80,0.67,137.0
How Far I’ll Go,Auli’i Cravalho,pop,spotify:track:4y5bvROuBDPr5fuwXbIBZR,0.60,0.70,0.73,82.0
Try,P!nk,pop,spotify:track:7i4vvyGpZC3OgXOHrOjqVs,0.61,0.76,0.55,104.0
Just Give Me a Reason,P!nk,pop,spotify:track:6ESZ5g7zV2sVCtAnnc3l6R,0.55,0.58,0.37,95.0
So What,P!nk,pop,spotify:track:0EYOdF5FCkgOJJla8DI2Md,0.75,0.93,0.83,126.0
Raise Your Glass,P!nk,pop,spotify:track:3bNx8tZteQ1Po9HtFwkAjN,0.74,0.90,0.89,122.0
Blow Me (One Last Kiss),P!nk,pop,spotify:track:6F4X8twI8KUbJ92C0fWTqr,0.72,0.86,0.71,114.0
Perfect,P!nk,pop,spotify:track:6Zw6qXJLHi7XnA0Bd3bO7p,0.53,0.62,0.43,92.0
Genie in a Bottle,Christina Aguilera,pop,spotify:track:3k6Rfr7U2l3h5mN3cZ0F5I,0.78,0.82,0.74,99.0
What a Girl Wants,Christina Aguilera,pop,spotify:track:5xEM5hIgJ1jjgcEBfpkt2F,0.70,0.75,0.68,89.0
Beautiful,Christina Aguilera,pop,spotify:track:2nMeu6UenVvwUktBCpLMK9,0.45,0.52,0.42,76.0
Fighter,Christina Aguilera,pop,spotify:track:2HlbkwAYMc34Cl8GQl9kjc,0.56,0.68,0.81,130.0
Dirrty,Christina Aguilera,pop,spotify:track:3toG5rGz7WMv0BfYHYoTnC,0.69,0.74,0.86,108.0
Ain’t No Other Man,Christina Aguilera,pop,spotify:track:4VqPOruhp5EdPBeR92t6lQ,0.73,0.78,0.90,114.0
Come On Over Baby,Christina Aguilera,pop,spotify:track:7Hc3M0X0EpcIQ2JrD3tEZW,0.75,0.80,0.77,120.0
Hurt,Christina Aguilera,pop,spotify:track:4cP6C1pFdBdRj1N9l4GgXM,0.31,0.40,0.30,72.0
Candyman,Christina Aguilera,pop,spotify:track:6z32J6wX4AaZkH0j5C8aTr,0.85,0.88,0.92,114.0
Not Myself Tonight,Christina Aguilera,pop,spotify:track:6aRQuoBssb5kHf3uf6L6lT,0.65,0.71,0.84,124.0
Royals,Lorde,pop,spotify:track:2dLLR6qlu5UJ5gk0dKz0h3,0.55,0.63,0.47,85.0
Team,Lorde,pop,spotify:track:6ydto3X8COi1KPD2VhdG5H,0.67,0.74,0.70,100.0
Green Light,Lorde,pop,spotify:track:4S8d14HvHb70ImctNgVzQQ,0.76,0.80,0.88,129.0
Tennis Court,Lorde,pop,spotify:track:3pXBbT9tYlDhrQ1dfKQzGh,0.58,0.62,0.53,92.0
Buzzcut Season,Lorde,pop,spotify:track:4rlfkdHqZWXxAdM4MHeXnF,0.51,0.59,0.48,106.0
Perfect Places,Lorde,pop,spotify:track:3pXBbT9tYlDhrQ1dfKQzGh,0.65,0.70,0.64,112.0
Homemade Dynamite,Lorde,pop,spotify:track:0E5IesD8YfAq3Ub6lL5KAg,0.72,0.77,0.80,108.0
Liability,Lorde,pop,spotify:track:2nGKFhUeYbAZQZev9RQHoM,0.32,0.39,0.28,74.0
Sober,Lorde,pop,spotify:track:1lVQO5Xh7jUwE3A6B6jdFD,0.55,0.61,0.60,113.0
Supercut,Lorde,pop,spotify:track:6xGruZOHLs39ZbVccQTuPZ,0.78,0.83,0.75,126.0
Firework,Katy Perry,pop,spotify:track:4lCv7b86sLynZbXhfScfm2,0.70,0.80,0.90,124.0
Teenage Dream,Katy Perry,pop,spotify:track:5jrdCoLpJSvHHorevXBATy,0.78,0.86,0.92,120.0
California Gurls,Katy Perry,pop,spotify:track:6xkryXuiYHKIo4CsC1Gxk4,0.82,0.89,0.95,125.0
Last Friday Night,Katy Perry,pop,spotify:track:4uOkFydzAejjSFqYbv1XPt,0.77,0.85,0.93,126.0
E.T.,Katy Perry,pop,spotify:track:2xLOMHjkOK8nzxJ4r6yOKR,0.58,0.65,0.88,130.0
Wide Awake,Katy Perry,pop,spotify:track:5jrdCoLpJSvHHorevXBATy,0.45,0.55,0.48,80.0
Part of Me,Katy Perry,pop,spotify:track:3wPg9X9syk3A6UqvU4ULde,0.68,0.74,0.85,130.0
Roar,Katy Perry,pop,spotify:track:5jrdCoLpJSvHHorevXBATy,0.78,0.84,0.90,90.0
Unconditionally,Katy Perry,pop,spotify:track:2i2gDpKKWlU1QWguG08sNZ,0.49,0.60,0.63,86.0
Dark Horse,Katy Perry,pop,spotify:track:0O45fw2L5vsWpdsOdXwNAR,0.65,0.72,0.82,132.0
Hot N Cold,Katy Perry,pop,spotify:track:3qjmJYjb9bZ0rGQ6SjKuXn,0.80,0.87,0.94,132.0
Thinking of You,Katy Perry,pop,spotify:track:2CkQh1Gxn5lOqNRHkXALHh,0.42,0.47,0.36,84.0
The One That Got Away,Katy Perry,pop,spotify:track:4L5U5g1zPSa6UMoy9Pzzqw,0.51,0.61,0.58,134.0
Birthday,Katy Perry,pop,spotify:track:5jrdCoLpJSvHHorevXBATy,0.72,0.82,0.88,126.0
Waking Up in Vegas,Katy Perry,pop,spotify:track:5jrdCoLpJSvHHorevXBATy,0.75,0.83,0.91,124.0
Smile,Lily Allen,pop,spotify:track:3dVZdYtM6y2g6dz7D1RQOe,0.65,0.73,0.70,95.0
The Fear,Lily Allen,pop,spotify:track:7hW0j1Jf8AT7CbQxFRLJfT,0.60,0.68,0.66,104.0
Not Fair,Lily Allen,pop,spotify:track:2XjUhr6a0iDKpHtC1mZBA4,0.67,0.72,0.64,92.0
22,Lily Allen,pop,spotify:track:1QEDNqxrNeEN4kcu6HfKJ3,0.55,0.62,0.61,98.0
LDN,Lily Allen,pop,spotify:track:1F4C1sO7ZR64HYgUxztS7K,0.71,0.76,0.74,90.0
Who’d Have Known,Lily Allen,pop,spotify:track:1m5hMBDR0P2q5byqRHnVPe,0.43,0.52,0.49,78.0
Our Time,Lily Allen,pop,spotify:track:1KdrkGwEuKXXSb9VjA36TQ,0.62,0.70,0.73,123.0
Hard Out Here,Lily Allen,pop,spotify:track:1J8xTnGuMR8t9qsutNQ2Ry,0.72,0.81,0.85,120.0
Air Balloon,Lily Allen,pop,spotify:track:6lzooxVpzy7sN2TPTzYhaQ,0.74,0.83,0.82,100.0
Somewhere Only We Know,Lily Allen,pop,spotify:track:2aB2yy8S7N0d4FFHfF0OXh,0.49,0.58,0.56,73.0
Back to December,Taylor Swift,pop,spotify:track:4w5ZJbR0pYc5XvVzy5xk9s,0.31,0.42,0.39,71.0
Love Story,Taylor Swift,pop,spotify:track:1vrd6UOGamcKNGnSHJQlSt,0.73,0.78,0.72,118.0
You Belong With Me,Taylor Swift,pop,spotify:track:1qrpoAMXodY6895hGKoUpA,0.71,0.79,0.81,130.0
Shake It Off,Taylor Swift,pop,spotify:track:5WfhX7XgQacA1zm42LZhO2,0.80,0.86,0.92,160.0
Blank Space,Taylor Swift,pop,spotify:track:1p80LdxRV74UKvL8gnD7ky,0.76,0.81,0.88,96.0
Style,Taylor Swift,pop,spotify:track:3Vi5XqYrmQgOYBajMWSvCi,0.63,0.71,0.77,95.0
Wildest Dreams,Taylor Swift,pop,spotify:track:2gMXnyrvIjhVBUZwvLZDMP,0.47,0.56,0.65,69.0
Bad Blood,Taylor Swift,pop,spotify:track:6SpLc7EXZIPpy0sVko0aoU,0.64,0.70,0.82,85.0
Delicate,Taylor Swift,pop,spotify:track:6NFyWDv5CjfwuzoCkw47Xf,0.53,0.61,0.56,95.0
